epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1085.28,1.22904,0.93743,1.2919,0.7972,0.72045,0.81334,0.51758,1.18587,0.92662,1.24382,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225
31,1121.31,1.2102,0.93385,1.29189,0.76255,0.70092,0.78716,0.47331,1.29121,1.00115,1.29949,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
32,1157.47,1.20356,0.90767,1.27655,0.83407,0.73381,0.83651,0.53512,1.1747,0.86724,1.25699,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275
33,1193.34,1.19002,0.89497,1.27104,0.80643,0.75642,0.83394,0.53256,1.1925,0.86771,1.24033,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
34,1229.07,1.18508,0.8823,1.26139,0.83297,0.73807,0.84322,0.53421,1.18524,0.85007,1.22578,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325
35,1264.65,1.20221,0.89107,1.27291,0.81406,0.76567,0.85297,0.55434,1.15992,0.84035,1.22444,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
36,1300.65,1.17102,0.86147,1.25965,0.81076,0.80062,0.85406,0.53881,1.18167,0.84787,1.25984,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
37,1336.41,1.1864,0.87644,1.26071,0.85859,0.76259,0.8676,0.55896,1.14533,0.80419,1.22592,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
38,1372.32,1.15807,0.85434,1.2563,0.83356,0.76179,0.86285,0.5593,1.16381,0.79677,1.24525,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425
39,1408.39,1.15922,0.84388,1.25252,0.86347,0.72799,0.8476,0.5592,1.13479,0.82231,1.19703,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
40,1444.49,1.15833,0.84083,1.25754,0.87318,0.75011,0.85895,0.55512,1.15344,0.83046,1.20697,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475
41,1480.31,1.15433,0.83885,1.24374,0.84309,0.7739,0.8644,0.56446,1.13536,0.78759,1.21409,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
42,1516.48,1.13185,0.81433,1.23076,0.83884,0.78417,0.85099,0.5472,1.1719,0.81432,1.23423,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525
43,1552.54,1.13501,0.82193,1.23468,0.81148,0.80516,0.87562,0.57433,1.1343,0.75537,1.20191,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
44,1588.78,1.12338,0.81862,1.22918,0.83933,0.80062,0.87801,0.57506,1.12274,0.75984,1.19299,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575
45,1624.88,1.14348,0.81939,1.23199,0.84307,0.77853,0.87889,0.57019,1.14102,0.75598,1.20565,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
46,1660.9,1.13469,0.81501,1.21506,0.83864,0.76921,0.87085,0.57092,1.13441,0.77745,1.19521,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
47,1696.44,1.11645,0.78537,1.21928,0.83884,0.80473,0.88098,0.56919,1.13603,0.74936,1.19052,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
48,1732.29,1.11043,0.79513,1.22006,0.82001,0.81939,0.8724,0.5747,1.13904,0.74182,1.20574,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675,0.0265103,0.00883675
49,1768.18,1.09978,0.76853,1.20239,0.84679,0.81227,0.88867,0.58691,1.10974,0.73143,1.18906,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
50,1803.95,1.07952,0.76913,1.19321,0.81474,0.81501,0.87098,0.57684,1.13521,0.75264,1.19752,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725,0.0263617,0.00878725
51,1839.34,1.10991,0.7812,1.21055,0.8538,0.80576,0.87299,0.58678,1.09841,0.73498,1.1772,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
52,1875,1.08259,0.76345,1.19431,0.87239,0.77698,0.8868,0.58205,1.10784,0.72927,1.19221,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775,0.0262133,0.00873775
53,1910.37,1.09027,0.76287,1.1982,0.87937,0.79415,0.89125,0.59283,1.10911,0.71845,1.18317,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
54,1946.11,1.07958,0.75974,1.19577,0.87128,0.78726,0.88904,0.59474,1.11808,0.70985,1.17151,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825,0.0260647,0.00868825
55,1981.68,1.07511,0.75754,1.18164,0.79388,0.84378,0.8818,0.5885,1.09473,0.70876,1.18446,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
56,2017.1,1.07631,0.74683,1.19173,0.86899,0.79757,0.8902,0.60272,1.08132,0.70995,1.1637,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
57,2052.42,1.06019,0.74511,1.1814,0.86389,0.80887,0.89309,0.598,1.08899,0.70465,1.15805,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
58,2088.04,1.06903,0.74861,1.18096,0.85815,0.82695,0.9013,0.60408,1.09178,0.691,1.16356,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925,0.0257677,0.00858925
59,2123.36,1.04794,0.7371,1.18184,0.85666,0.81912,0.88796,0.60155,1.09001,0.7358,1.17468,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
60,2158.94,1.05178,0.73223,1.17338,0.85801,0.83864,0.90278,0.61391,1.05089,0.66275,1.13795,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975,0.0256192,0.00853975
61,2194.25,1.05603,0.72483,1.17143,0.86716,0.79839,0.88667,0.59527,1.10862,0.71552,1.1699,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
62,2229.53,1.04906,0.72077,1.16803,0.8741,0.81603,0.89887,0.61069,1.06845,0.66333,1.15208,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025,0.0254708,0.00849025
63,2264.89,1.03897,0.72048,1.16787,0.86736,0.8222,0.90745,0.61003,1.08053,0.66706,1.15161,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
64,2300.45,1.04018,0.70336,1.16633,0.879,0.80267,0.90237,0.60896,1.08992,0.67109,1.1637,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075,0.0253223,0.00844075
65,2335.7,1.03137,0.70146,1.15966,0.85995,0.8222,0.88989,0.60279,1.08904,0.68206,1.1661,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
66,2371.14,1.01665,0.7028,1.16735,0.87456,0.80967,0.89233,0.59457,1.10845,0.69375,1.16509,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
67,2406.33,1.02679,0.7048,1.17219,0.83401,0.82631,0.88656,0.59333,1.0917,0.69832,1.16977,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
68,2441.87,1.01529,0.68696,1.15705,0.88636,0.82569,0.91087,0.61968,1.06028,0.65066,1.14149,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175,0.0250252,0.00834175
69,2477.44,1.01561,0.69278,1.15526,0.8593,0.83145,0.90044,0.62099,1.05658,0.66244,1.14465,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
70,2512.98,1.00594,0.68738,1.14643,0.8891,0.81912,0.90705,0.61699,1.06437,0.65326,1.15897,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225,0.0248767,0.00829225
71,2548.71,1.00817,0.67976,1.14745,0.84071,0.84078,0.89736,0.61071,1.07659,0.67215,1.15743,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
72,2584.57,1.02309,0.70223,1.15264,0.87536,0.83145,0.90677,0.62913,1.05087,0.64778,1.14135,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275,0.0247282,0.00824275
73,2619.75,1.00506,0.68148,1.13973,0.86292,0.83459,0.90092,0.62216,1.04554,0.66241,1.13969,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
